Config,Signal,AUC,TPR@FPR=1e-5
float32,A to 4l,0.8906946716485911,0.012489056441958942
float32,LQ,0.7900892536434353,0.00032007611351249766
float32,H to tau nu,0.8241613213236513,0.0011982553612391355
float32,H to tau tau,0.7271515146595172,0.0008346798633844605
Q5.12 (18-bit),A to 4l,0.8727189951133661,0.012417588307813254
Q5.12 (18-bit),LQ,0.7530278483911037,0.00032301259161811687
Q5.12 (18-bit),H to tau nu,0.7918751637729655,0.0011982553612391355
Q5.12 (18-bit),H to tau tau,0.7058583069381498,0.0008288935211772892
Q5.10 (16-bit),A to 4l,0.7822482894303097,0.012310386106594722
Q5.10 (16-bit),LQ,0.6117568490584183,0.0003288855478293554
Q5.10 (16-bit),H to tau nu,0.6690087041029394,0.0011785255803186227
Q5.10 (16-bit),H to tau tau,0.6053135663722382,0.0008086413234521896
Q7.8 (16-bit),A to 4l,0.7725404397880969,0.012113848737694081
Q7.8 (16-bit),LQ,0.6346877275730155,0.00033475850404059387
Q7.8 (16-bit),H to tau nu,0.6559860312841983,0.0011180209188290506
Q7.8 (16-bit),H to tau tau,0.6129637927941596,0.0007739232702091618
Q3.8 (12-bit),A to 4l,0.7725404397880969,0.012113848737694081
Q3.8 (12-bit),LQ,0.6346877275730155,0.00033475850404059387
Q3.8 (12-bit),H to tau nu,0.6559860312841983,0.0011180209188290506
Q3.8 (12-bit),H to tau tau,0.6129637927941596,0.0007739232702091618
Q3.4 (8-bit),A to 4l,0.5002638300487771,0.00348407153960228
Q3.4 (8-bit),LQ,0.5465118647645385,0.0005579308400676565
Q3.4 (8-bit),H to tau nu,0.5286893297028893,0.0008286507986615317
Q3.4 (8-bit),H to tau tau,0.540190396830965,0.0006191386161673295
